source,target_cleaned,score,key_ingredient,seasonality,ingredient,accompaniment,avoid,target_raw,
african cuisine (west),corn,1,,,,,,corn,
african cuisine (west),goat,1,,,,,,goat,
african cuisine (west),mango,1,,,,,,mangoes,
african cuisine (west),okra,1,,,,,,okra,
african cuisine (west),papaya,1,,,,,,papayas,
african cuisine (west),peanuts,1,,,,,,peanuts,
african cuisine (west),plantain,1,,,,,,plantains,
african cuisine (west),rice,1,,,,,,rice,
african cuisine (west),soup,1,,,,,,soups,
african cuisine (west),stew,1,,,,,,stewed dishes,
african cuisine (west),sweet potato,1,,,,,,sweet potatoes,
african cuisine (west),tomato,1,,,,,,tomatoes,
african cuisine (west),wheat,1,,,,,,wheat,
african cuisine (west),yams,1,,,,,,yams,
allspice,baked goods,1,,,,,,baked goods,
allspice,beans,1,,,,,,beans,
allspice,beets,1,,,,,,beets,
allspice,bread,1,,,,,,"breads, esp. breakfast",
allspice,"bread, breakfast",2,,,,,,"breads, esp. breakfast",
allspice,broth,1,,,,,,"stocks and broths, chicken",
allspice,"broth, chicken",1,,,,,,"stocks and broths, chicken",
allspice,cabbage,1,,,,,,cabbage,
allspice,cake,1,,,,,,cakes,
allspice,"cake, spiced",1,,,,,,spiced cakes,
allspice,caribbean cuisine,1,,,,,,caribbean cuisine,
allspice,carrot,1,,,,,,carrots,
allspice,chicken,2,,,,,,"chicken (e.g., jamaican style)",
allspice,chickpeas,1,,,,,,chickpeas,
allspice,chile pepper,1,,,,,,chile peppers,
allspice,cinnamon,1,,,,,,cinnamon,
allspice,clove,1,,,,,,cloves,
allspice,cookies,1,,,,,,cookies,
allspice,coriander,1,,,,,,coriander,
allspice,currant,1,,,,,,"currants, esp. black",
allspice,"currant, black",2,,,,,,"currants, esp. black",
allspice,curry,2,,,,,,curries and curry powder,
allspice,curry,2,,,,,,curries and curry powder,
allspice,"curry, powder",2,,,,,,curries and curry powder,
allspice,eastern mediterranean cuisine,1,,,,,,eastern mediterranean cuisine,
allspice,eggplant,1,,,,,,eggplant,
allspice,english cuisine,1,,,,,,english cuisine,
allspice,fish,1,,,,,,"fish, esp. grilled",
allspice,"fish, grilled",2,,,,,,"fish, esp. grilled",
allspice,fruit,2,,,,,,"fruits, fruit compotes, and jams",
allspice,"fruit, compotes",2,,,,,,"fruits, fruit compotes, and jams",
allspice,game,1,,,,,,"game and game birds (e.g., quail)",
allspice,game birds,1,,,,,,"game and game birds (e.g., quail)",
allspice,garlic,1,,,,,,garlic,
allspice,ginger,2,,,,,,ginger,
allspice,goat,1,,,,,,goat,
allspice,grains,1,,,,,,grains,
allspice,ham,1,,,,,,ham,
allspice,"herring, pickled",1,,,,,,"herring, pickled",
allspice,indian cuisine,1,,,,,,indian cuisine,
allspice,jam,2,,,,,,"fruits, fruit compotes, and jams",
allspice,jamaican cuisine,3,,,,,,"jamaican cuisine (e.g., jerk dishes)",
allspice,jamaican style,2,,,,,,"chicken (e.g., jamaican style)",
allspice,jerk seasoning,3,,,,,,"jamaican cuisine (e.g., jerk dishes)",
allspice,ketchup,1,,,,,,ketchup,
allspice,lamb,1,,,,,,lamb,
allspice,mace,1,,,,,,mace,
allspice,"meat, grilled",4,,,,,,"meats, red, esp. braised, grilled, or roasted",
allspice,"meat, red",3,,,,,,"meats, red, esp. braised, grilled, or roasted",
allspice,"meat, red",4,,,,,,"meats, red, esp. braised, grilled, or roasted",
allspice,"meat, roasted",4,,,,,,"meats, red, esp. braised, grilled, or roasted",
allspice,mexican cuisine,1,,,,,,mexican cuisine,
allspice,middle eastern cuisine,1,,,,,,middle eastern cuisine,
allspice,mushroom,1,,,,,,mushrooms,
allspice,mustard,1,,,,,,mustard,
allspice,north american cuisine,1,,,,,,north american cuisine,
allspice,nutmeg,1,,,,,,nutmeg,
allspice,nuts,1,,,,,,nuts,
allspice,onion,1,,,,,,onions,
allspice,"pepper, black",1,,,,,,"pepper, black",
allspice,pie,1,,,,,,pies,
allspice,pineapple,1,,,,,,pineapple,
allspice,pork,1,,,,,,pork,
allspice,pumpkin,3,,,,,,pumpkin,
allspice,quail,1,,,,,,"game and game birds (e.g., quail)",
allspice,rabbit,1,,,,,,rabbit,
allspice,rice,1,,,,,,rice,
allspice,rosemary,1,,,,,,rosemary,
allspice,salsa,1,,,,,,salsas and sauces,
allspice,sauce,1,,,,,,salsas and sauces,
allspice,sauerkraut,1,,,,,,sauerkraut,
allspice,sausage,1,,,,,,sausages,
allspice,soup,1,,,,,,soups,
allspice,spinach,1,,,,,,spinach,
allspice,"squash, winter",2,,,,,,"squash, winter",
allspice,stew,1,,,,,,stews,
allspice,stock,1,,,,,,"stocks and broths, chicken",
allspice,sweet potato,1,,,,,,sweet potatoes,
allspice,thyme,1,,,,,,thyme,
allspice,tomato,1,,,,,,tomatoes,
allspice,turnips,1,,,,,,turnips,
allspice,vegetables,1,,,,,,"vegetables, esp. root",
allspice,"vegetables, root",2,,,,,,"vegetables, esp. root",
allspice,west indies cuisine,1,,,,,,west indies cuisine,
almonds,amaretto,1,,,,,,amaretto,
almonds,anise,1,,,,,,"anise, esp. green",
almonds,"anise, green",2,,,,,,"anise, esp. green",
almonds,apple,1,,,,,,apples,
almonds,apricot,2,,,,,,apricots,
almonds,beans,1,,,,,,beans,
almonds,blackberry,1,,,,,,blackberries,
almonds,brandy,1,,,,,,brandy,
almonds,"butter, unsalted",3,,,,,,"butter, unsalted",
almonds,butterscotch,1,,,,,,butterscotch,
almonds,caramel,2,,,,,,caramel,
almonds,cardamom,1,,,,,,cardamom,
almonds,cayenne,1,,,,,,cayenne,
almonds,"cheese, goat",1,,,,,,cheese goat,
almonds,"cheese, manchego",1,,,,,,cheese manchego,
almonds,"cheese, ricotta",1,,,,,,cheese ricotta,
almonds,cherry,1,,,,,,"cherries, esp. sour",
almonds,"cherry, sour",2,,,,,,"cherries, esp. sour",
almonds,chicken,1,,,,,,chicken,
almonds,"chocolate, dark",3,,,,,,chocolate dark,
almonds,"chocolate, milk",3,,,,,,chocolate milk,
almonds,"chocolate, white",1,,,,,,"chocolate, white",
almonds,cinnamon,1,,,,,,cinnamon,
almonds,coconut,2,,,,,,coconut,
almonds,coffee,2,,,,,,coffee,
almonds,corn syrup,1,,,,,,corn syrup,
almonds,cornmeal,1,,,,,,cornmeal,
almonds,crab,1,,,,,,crab,
almonds,cranberry,1,,,,,,cranberries,
almonds,cream,3,,,,,,cream,
almonds,cream cheese,1,,,,,,cream cheese,
almonds,crème fraîche,1,,,,,,crème fraîche,
almonds,currant,1,,,,,,currants,
almonds,fig,2,,,,,,figs,
almonds,fish,1,,,,,,fish,
almonds,french pastries,1,,,,,,french pastries,
almonds,fruit,1,,,,,,"fruits, most",
almonds,garlic,1,,,,,,garlic,
almonds,grape,1,,,,,,grapes,
almonds,greek cuisine,1,,,,,,greek cuisine,
almonds,"greens, salad",1,,,,,,"greens, salad",
almonds,hazelnut,2,,,,,,hazelnuts,
almonds,honey,3,,,,,,honey,
almonds,ice cream,1,,,,,,ice cream,
almonds,indian cuisine,1,,,,,,indian cuisine,
almonds,lamb,1,,,,,,lamb,
almonds,lavender,1,,,,,,lavender,
almonds,"lemon, juice",2,,,,,,lemon juice,
almonds,"lemon, zest",2,,,,,,lemon zest,
almonds,"liqueur, fruit",1,,,,,,"liqueurs, fruit (including orange)",
almonds,mascarpone,1,,,,,,mascarpone,
almonds,mediterranean cuisine,1,,,,,,mediterranean cuisine,
almonds,mexican beverages,1,,,,,,mexican beverages and mole sauces,
almonds,mexican beverages,1,,,,,,mexican beverages and mole sauces,
almonds,"milk, sweetened condensed",1,,,,,,"milk, sweetened condensed",
almonds,molasses,1,,,,,,molasses,
almonds,mole sauce,1,,,,,,mexican beverages and mole sauces,
almonds,moroccan cuisine,1,,,,,,moroccan cuisine,
almonds,nectarine,1,,,,,,nectarines,
almonds,oats,1,,,,,,oats,
almonds,olive oil,2,,,,,,olive oil,
almonds,olives,1,,,,,,olives,
almonds,"orange, juice",2,,,,,,orange juice,
almonds,"orange, zest",2,,,,,,orange zest,
almonds,paprika,1,,,,,,paprika,
almonds,passion fruit,1,,,,,,passion fruit,
almonds,pastry crust,1,,,,,,crust pastry,
almonds,peach,1,,,,,,peaches,
almonds,pear,1,,,,,,pears,
almonds,pecan,1,,,,,,pecans,
almonds,"pepper, ground",1,,,,,,"pepper, ground",
almonds,pie crust,1,,,,,,crust pie,
almonds,pine nuts,1,,,,,,pine nuts,
almonds,plum,1,,,,,,plums,
almonds,praline,1,,,,,,praline,
almonds,prune,1,,,,,,prunes,
almonds,quince,1,,,,,,quince,
almonds,raisins,1,,,,,,"raisins, esp. white",
almonds,"raisins, white",2,,,,,,"raisins, esp. white",
almonds,raspberry,1,,,,,,raspberries,
almonds,rhubarb,1,,,,,,rhubarb,
almonds,rice,1,,,,,,rice,
almonds,rosemary,1,,,,,,rosemary,
almonds,rum,1,,,,,,rum,
almonds,"salt, kosher",2,,,,,,salt kosher,
almonds,"salt, sea",2,,,,,,salt sea,
almonds,"sauce, italian",1,,,,,,italian sauces,
almonds,shellfish,1,,,,,,shellfish,
almonds,sherry,1,,,,,,sherry,
almonds,spanish cuisine,1,,,,,,"spanish cuisine, esp. sauces",
almonds,"spanish cuisine, sauces",2,,,,,,"spanish cuisine, esp. sauces",
almonds,strawberry,1,,,,,,strawberries,
almonds,"sugar, brown",2,,,,,,sugar brown,
almonds,"sugar, white",2,,,,,,sugar white,
almonds,tea,1,,,,,,tea,
almonds,turkish cuisine,1,,,,,,turkish cuisine,
almonds,vanilla,3,,,,,,vanilla,
almonds,walnuts,1,,,,,,walnuts,
anchovies,almonds,2,,,,,,almonds,
anchovies,basil,1,,,,,,basil,
anchovies,"beans, green",1,,,,,,"beans, green",
anchovies,bell pepper,1,,,,,,"bell peppers, esp. roasted",
anchovies,"bell pepper, roasted",2,,,,,,"bell peppers, esp. roasted",
anchovies,capers,2,,,,,,capers,
anchovies,carrot,1,,,,,,carrots,
anchovies,cauliflower,1,,,,,,cauliflower,
anchovies,celery,1,,,,,,celery,
anchovies,"cheese, manchego",2,,,,,,cheese manchego,
anchovies,"cheese, mozzarella",2,,,,,,cheese mozzarella,
anchovies,"cheese, parmesan",2,,,,,,cheese parmesan,
anchovies,"chile pepper, piquillo",1,,,,,,"peppers, piquillo",
anchovies,chive,1,,,,,,chives,
anchovies,"egg, hard-boiled",2,,,,,,"eggs, hard-boiled",
anchovies,fennel,1,,,,,,fennel,
anchovies,garlic,3,,,,,,garlic,
anchovies,"lemon, juice",2,,,,,,"lemon, juice",
anchovies,"lettuce, romaine",1,,,,,,romaine lettuce,
anchovies,lobster,1,,,,,,lobster,
anchovies,mayonnaise,2,,,,,,mayonnaise,
